Website,Packets,Bytes,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Duration,Bits/s A → B,Bits/s B → A
google.csv,1,1286,1,1286,0,0,0.0663580000000365,155037,0
google.csv,1,728,1,728,0,0,620.5287090000002,9,0
google.csv,1,728,1,728,0,0,0.0723700000000917,80475,0
google.csv,1,721,1,721,0,0,0.2653000000000247,21741,0
google.csv,1,730,1,730,0,0,0.3741400000001249,15609,0
google.csv,1,716,1,716,0,0,595.5296129999999,9,0
google.csv,1,1298,1,1298,0,0,271.0054889999999,38,0
google.csv,1,716,1,716,0,0,269.8233889999999,21,0
google.csv,1,716,1,716,0,0,171.86934500000007,33,0
google.csv,1,1291,1,1291,0,0,226.1174109999997,45,0
google.csv,1,719,1,719,0,0,173.5947100000003,33,0
google.csv,1,720,1,720,0,0,170.83696400000008,33,0
google.csv,1,727,1,727,0,0,165.5371230000001,35,0
google.csv,2,1381,1,365,1,1016,130.64764399999967,22,62
google.csv,4,4654,1,256,3,4398,0.0911330000003545,22472,386073
google.csv,1,716,1,716,0,0,95.77121699999998,59,0
google.csv,1,1286,1,1286,0,0,0.0573810000000776,179292,0
google.csv,1,728,1,728,0,0,95.07409199999984,61,0
google.csv,1,728,1,728,0,0,0.0753550000003997,77287,0
google.csv,1,721,1,721,0,0,0.2398720000001049,24046,0
google.csv,1,716,1,716,0,0,90.95440499999997,62,0
google.csv,1,716,1,716,0,0,21.41510400000016,267,0
google.csv,1,716,1,716,0,0,103.04345400000012,55,0
google.csv,1,1286,1,1286,0,0,0.050705999999991,202895,0
google.csv,1,728,1,728,0,0,102.23596300000008,56,0
google.csv,1,721,1,721,0,0,102.38571200000024,56,0
google.csv,1,728,1,728,0,0,101.69851000000016,57,0
google.csv,1,716,1,716,0,0,98.11242500000026,58,0
google.csv,1,717,1,717,0,0,52.88431700000001,108,0
google.csv,1,730,1,730,0,0,0.1678719999999884,34788,0
google.csv,1,717,1,717,0,0,0.1086479999999028,52794,0
google.csv,1,712,1,712,0,0,11.093274000000292,513,0
reuters.csv,2,953,1,772,1,181,38.047979,162,38
reuters.csv,1,717,1,717,0,0,37.842574,151,0
reuters.csv,1,717,1,717,0,0,20.787983999999994,275,0
reuters.csv,1,717,1,717,0,0,0.0897620000000074,63902,0
reuters.csv,1,717,1,717,0,0,34.71785,165,0
reuters.csv,1,717,1,717,0,0,0.0874670000000037,65579,0
reuters.csv,1,717,1,717,0,0,0.0983519999999771,58321,0
reuters.csv,1,717,1,717,0,0,12.477434999999986,459,0
reuters.csv,1,717,1,717,0,0,18.908601000000036,303,0
reuters.csv,1,717,1,717,0,0,88.95119899999997,64,0
reuters.csv,1,717,1,717,0,0,26.852723999999967,213,0
reuters.csv,1,717,1,717,0,0,59.66648199999997,96,0
reuters.csv,1,717,1,717,0,0,24.007783000000018,238,0
reuters.csv,1,717,1,717,0,0,31.46025099999997,182,0
reuters.csv,1,717,1,717,0,0,7.280375999999933,787,0
reuters.csv,1,717,1,717,0,0,0.110548000000108,51886,0
reuters.csv,1,717,1,717,0,0,16.682904000000008,343,0
reuters.csv,1,717,1,717,0,0,0.1038149999999404,55252,0
reuters.csv,1,717,1,717,0,0,0.1103570000000218,51976,0
reuters.csv,1,717,1,717,0,0,0.0996199999999589,57578,0
reuters.csv,1,717,1,717,0,0,16.003048000000035,358,0
reuters.csv,1,717,1,717,0,0,13.23961300000019,433,0
reuters.csv,1,717,1,717,0,0,41.77301700000021,137,0
reuters.csv,1,717,1,717,0,0,11.169349999999897,513,0
reuters.csv,1,717,1,717,0,0,0.0973920000001271,58896,0
reuters.csv,1,717,1,717,0,0,0.0972830000000612,58961,0
reuters.csv,1,717,1,717,0,0,38.85375399999998,147,0
reuters.csv,1,717,1,717,0,0,36.57251500000007,156,0
reuters.csv,1,717,1,717,0,0,41.413276,138,0
reuters.csv,1,729,1,729,0,0,6.127314000000069,951,0
reuters.csv,1,729,1,729,0,0,0.0911670000000413,63970,0
