Website,Time,Length,Protocol,Info
4,34.137835,92,1,6
4,34.137869,92,1,6
4,34.161676,128,0,15
4,34.162136,1466,0,15
4,34.162136,1466,0,15
4,34.162136,1466,0,15
4,34.162136,1466,0,15
4,34.162157,1466,0,15
4,34.162157,1466,0,15
4,34.162157,1466,0,15
4,34.162157,1466,0,15
4,34.162157,1302,0,11
4,34.162157,93,0,15
4,34.166529,54,1,6
4,34.166588,54,1,6
4,34.166601,54,1,6
4,34.166764,54,1,6
4,34.16684,54,1,6
4,34.166876,93,0,15
4,34.183585,92,1,6
4,34.242337,604,0,15
4,34.242337,1466,0,15
4,34.242337,1466,0,15
4,34.242337,1466,0,15
4,34.242337,1466,0,15
4,34.242337,1466,0,15
4,34.242337,1466,0,15
4,34.242337,1466,0,15
4,34.242337,1466,0,15
4,34.242337,1466,0,15
4,34.242337,1466,0,15
4,34.242337,1157,0,15
4,34.242337,322,0,15
4,34.242337,1466,0,15
4,34.242337,1466,0,15
4,34.242337,1466,0,15
4,34.242337,1466,0,15
4,34.243022,1466,0,15
4,34.243022,1466,0,15
4,34.243022,1466,0,15
4,34.243022,1466,0,15
4,34.243022,1466,0,15
4,34.243022,1466,0,15
4,34.243022,1466,0,15
4,34.243022,1466,0,15
4,34.243022,1179,0,15
4,34.243022,1466,0,15
4,34.243022,1466,0,15
4,34.243022,1466,0,15
4,34.243022,1466,0,15
4,34.243022,510,0,15
4,34.243334,93,0,15
4,34.243334,93,0,15
4,34.24861,54,1,6
4,34.24871,54,1,6
4,34.248745,54,1,6
4,34.24877,54,1,6
4,34.248803,54,1,6
4,34.248835,54,1,6
4,34.248867,54,1,6
4,34.2489,54,1,6
4,34.248932,54,1,6
4,34.248966,54,1,6
4,34.248999,54,1,6
4,34.249025,54,1,6
4,34.249057,54,1,6
4,34.24909,54,1,6
4,34.249124,54,1,6
4,34.249157,54,1,6
4,34.249191,93,0,15
4,34.261354,92,1,6
4,34.629132,1466,1,6
4,34.629217,1466,1,6
4,34.629249,1111,0,15
4,34.629286,1466,1,6
4,34.62932,1466,1,6
4,34.629354,142,0,15
4,34.666197,92,1,6
4,34.66623,92,1,6
4,34.666394,92,1,6
4,34.686228,583,0,15
4,34.686228,1466,0,15
4,34.686248,1466,0,15
4,34.686868,1466,0,15
4,34.686868,1466,0,15
4,34.686868,1466,0,15
4,34.68723,1466,0,15
4,34.68723,1466,0,15
4,34.68723,1466,0,15
4,34.68723,1466,0,15
4,34.68723,1466,0,15
4,34.68723,1423,0,11
4,34.68723,1466,0,15
4,34.687658,1466,0,15
4,34.687658,1466,0,15
4,34.687658,1466,0,15
4,34.687658,1466,0,15
4,34.687658,1466,0,15
4,34.688186,1466,0,15
4,34.688186,1466,0,15
4,34.688186,1466,0,15
4,34.688186,1466,0,15
4,34.688186,1466,0,15
4,34.688186,1179,0,15
4,34.688186,1466,0,15
4,34.689247,1466,0,15
4,34.689247,1466,0,15
4,34.689247,1466,0,15
4,34.689247,1466,0,15
4,34.689247,1466,0,15
4,34.689247,1466,0,15
4,34.689247,1466,0,15
4,34.689247,1466,0,15
4,34.689247,1466,0,15
4,34.689247,1466,0,15
4,34.689247,1466,0,15
4,34.689247,1179,0,15
4,34.689247,1466,0,15
4,34.689457,1466,0,15
4,34.689457,1466,0,15
4,34.689457,1466,0,15
4,34.689457,1466,0,15
4,34.689457,1466,0,15
4,34.689457,1466,0,15
4,34.689457,1466,0,15
4,34.689457,238,0,11
4,34.689566,93,0,15
4,34.690787,54,1,6
4,34.692775,54,1,6
4,34.692846,54,1,6
4,34.692881,54,1,6
4,34.692905,54,1,6
4,34.692939,54,1,6
4,34.692971,54,1,6
4,34.693002,54,1,6
4,34.693034,54,1,6
4,34.693067,54,1,6
4,34.693101,54,1,6
4,34.693134,54,1,6
4,34.693168,54,1,6
4,34.693195,54,1,6
4,34.693228,54,1,6
4,34.693261,54,1,6
4,34.693287,54,1,6
4,34.693319,54,1,6
4,34.693351,54,1,6
4,34.693384,54,1,6
4,34.693417,54,1,6
4,34.693451,54,1,6
4,34.693483,54,1,6
4,34.693517,93,0,15
4,34.711388,92,1,6
4,34.904639,584,0,15
4,34.904972,1466,0,15
4,34.905158,1466,0,15
4,34.905992,1466,0,15
4,34.905992,1466,0,15
4,34.905992,1466,0,15
4,34.905992,1466,0,15
4,34.905992,1466,0,15
4,34.905992,1466,0,15
4,34.905992,1466,0,15
4,34.905992,1466,0,15
4,34.905992,1422,0,11
