Website,Packets,Bytes,Total Packets,Percent Filtered,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Duration,Bits/s A → B,Bits/s B → A
github.csv,1,718,35,2.86,1,718,0,0,10.023300999999949,573,0
github.csv,1,712,571,0.18,1,712,0,0,7.855064999999968,725,0
github.csv,1,718,35,2.86,1,718,0,0,6.985919999999851,822,0
github.csv,1,712,1056,0.09,1,712,0,0,36.20374600000014,157,0
github.csv,1,718,35,2.86,1,718,0,0,35.44599599999992,162,0
github.csv,1,712,244,0.41,1,712,0,0,2.0743949999996403,2745,0
github.csv,1,718,31,3.23,1,718,0,0,1.3471549999999295,4263,0
github.csv,1,712,764,0.13,1,712,0,0,14.531733999999688,391,0
github.csv,1,718,36,2.78,1,718,0,0,13.780013999999936,416,0
github.csv,1,712,875,0.11,1,712,0,0,18.742201000000023,303,0
github.csv,1,718,35,2.86,1,718,0,0,17.968519000000015,319,0
github.csv,1,712,994,0.1,1,712,0,0,15.60512800000015,365,0
github.csv,1,718,42,2.38,1,718,0,0,14.833937999999762,387,0
google.csv,1,716,4814,0.02,1,716,0,0,312.214515,18,0
google.csv,1,728,347,0.29,1,728,0,0,311.389551,18,0
google.csv,1,1286,22,4.55,1,1286,0,0,0.0574560000000019,179058,0
google.csv,1,728,22,4.55,1,728,0,0,0.098436999999997,59164,0
google.csv,1,721,38,2.63,1,721,0,0,0.2847869999999943,20253,0
google.csv,1,716,256,0.39,1,716,0,0,307.252021,18,0
google.csv,1,716,71,1.41,1,716,0,0,170.91631600000002,33,0
google.csv,1,1291,72,1.39,1,1291,0,0,163.68088299999997,63,0
google.csv,1,720,461,0.22,1,720,0,0,21.967849,262,0
google.csv,1,737,38,2.63,1,737,0,0,0.2124440000000049,27753,0
google.csv,1,717,19,5.26,1,717,0,0,0.161433000000045,35531,0
google.csv,1,716,22371,0.0,1,716,0,0,269.749515,21,0
google.csv,1,1286,22,4.55,1,1286,0,0,0.2881930000000352,35698,0
google.csv,1,728,537,0.19,1,728,0,0,268.68021400000003,21,0
google.csv,1,728,21,4.76,1,728,0,0,0.0634299999999825,91817,0
google.csv,1,721,38,2.63,1,721,0,0,0.2789859999999748,20674,0
google.csv,1,712,7188,0.01,1,712,0,0,266.536926,21,0
google.csv,1,716,20,5.0,1,716,0,0,0.0896060000000034,63924,0
google.csv,2,1381,10,20.0,1,365,1,1016,63.044691,46,128
google.csv,4,4654,30,13.33,1,256,3,4398,0.0907799999999952,22560,387574
google.csv,1,717,21,4.76,1,717,0,0,0.0732439999999314,78313,0
google.csv,1,733,51,1.96,1,733,0,0,0.2583840000000919,22694,0
google.csv,1,716,21215,0.0,1,716,0,0,161.99523799999997,35,0
google.csv,1,1286,124,0.81,1,1286,0,0,0.093605000000025,109908,0
google.csv,1,728,283,0.35,1,728,0,0,160.91783599999997,36,0
google.csv,1,728,24,4.17,1,728,0,0,0.0808540000000448,72031,0
google.csv,1,721,318,0.31,1,721,0,0,160.682451,35,0
google.csv,1,716,1507,0.07,1,716,0,0,156.9447839999999,36,0
google.csv,1,718,22,4.55,1,718,0,0,0.0676260000000184,84937,0
google.csv,1,716,11,9.09,1,716,0,0,0.0355359999999791,161188,0
google.csv,1,716,14,7.14,1,716,0,0,0.1028129999999691,55712,0
google.csv,1,716,277,0.36,1,716,0,0,136.45644399999992,41,0
google.csv,1,717,50,2.0,1,717,0,0,106.20489499999996,54,0
google.csv,1,733,53,1.89,1,733,0,0,24.539445,238,0
google.csv,1,716,14895,0.01,1,716,0,0,264.215163,21,0
google.csv,1,716,12,8.33,1,716,0,0,0.0366060000000061,156477,0
google.csv,1,716,13,7.69,1,716,0,0,0.067105999999967,85357,0
google.csv,1,1286,20,5.0,1,1286,0,0,0.0774270000000569,132873,0
google.csv,1,721,13,7.69,1,721,0,0,0.0654359999999769,88147,0
google.csv,1,721,38,2.63,1,721,0,0,0.22796900000003,25301,0
google.csv,1,718,4277,0.02,1,718,0,0,249.86863099999997,22,0
google.csv,1,728,70,1.43,1,728,0,0,248.99155299999995,23,0
google.csv,1,728,248,0.4,1,728,0,0,248.8251939999999,23,0
google.csv,1,717,65,1.54,1,717,0,0,170.25129400000003,33,0
google.csv,1,721,33,3.03,1,721,0,0,170.151976,33,0
google.csv,1,716,410,0.24,1,716,0,0,245.02279900000008,23,0
google.csv,1,730,42,2.38,1,730,0,0,0.3450879999999188,16923,0
google.csv,1,721,249,0.4,1,721,0,0,209.538774,27,0
google.csv,1,716,92,1.09,1,716,0,0,201.45310399999997,28,0
google.csv,1,720,15,6.67,1,720,0,0,0.0633590000001049,90910,0
google.csv,1,737,71,1.41,1,737,0,0,169.535887,34,0
google.csv,1,1300,43,2.33,1,1300,0,0,13.419370000000072,774,0
google.csv,1,716,45149,0.0,1,716,0,0,580.7277690000001,9,0
google.csv,1,1286,20,5.0,1,1286,0,0,0.0623410000000603,165027,0
google.csv,1,728,2207,0.05,1,728,0,0,579.7976530000001,10,0
google.csv,1,721,1273,0.08,1,721,0,0,579.5785930000002,9,0
google.csv,1,728,22,4.55,1,728,0,0,0.0874160000000756,66623,0
google.csv,1,716,1464,0.07,1,716,0,0,575.6675220000002,9,0
google.csv,1,716,14,7.14,1,716,0,0,0.0586879999998473,97600,0
google.csv,1,716,12,8.33,1,716,0,0,0.0358639999999468,159714,0
google.csv,1,716,12,8.33,1,716,0,0,0.0420690000000831,136157,0
google.csv,1,716,11,9.09,1,716,0,0,0.037277000000131,153660,0
google.csv,1,716,198,0.51,1,716,0,0,185.19050500000003,30,0
google.csv,1,717,44,2.27,1,717,0,0,170.51230699999996,33,0
google.csv,2,1381,10,20.0,1,365,1,1016,151.86895900000013,19,53
google.csv,4,4654,26,15.38,1,256,3,4398,0.071911,28479,489271
google.csv,1,718,391,0.26,1,718,0,0,110.30805600000008,52,0
google.csv,1,1286,145,0.69,1,1286,0,0,2.1287579999998343,4832,0
google.csv,1,716,293,0.34,1,716,0,0,92.63353899999991,61,0
google.csv,1,716,39702,0.0,1,716,0,0,621.3602769999998,9,0
google.csv,1,1286,22,4.55,1,1286,0,0,0.0663580000000365,155037,0
google.csv,1,728,4896,0.02,1,728,0,0,620.5287090000002,9,0
google.csv,1,728,23,4.35,1,728,0,0,0.0723700000000917,80475,0
google.csv,1,721,38,2.63,1,721,0,0,0.2653000000000247,21741,0
google.csv,1,730,224,0.45,1,730,0,0,0.3741400000001249,15609,0
google.csv,1,716,683,0.15,1,716,0,0,595.5296129999999,9,0
google.csv,1,1298,285,0.35,1,1298,0,0,271.0054889999999,38,0
google.csv,1,716,294,0.34,1,716,0,0,269.8233889999999,21,0
google.csv,1,716,66,1.52,1,716,0,0,171.86934500000007,33,0
google.csv,1,1291,460,0.22,1,1291,0,0,226.1174109999997,45,0
google.csv,1,719,210,0.48,1,719,0,0,173.5947100000003,33,0
google.csv,1,720,41,2.44,1,720,0,0,170.83696400000008,33,0
google.csv,1,727,581,0.17,1,727,0,0,165.5371230000001,35,0
google.csv,2,1381,10,20.0,1,365,1,1016,130.64764399999967,22,62
google.csv,4,4654,29,13.79,1,256,3,4398,0.0911330000003545,22472,386073
google.csv,1,716,2936,0.03,1,716,0,0,95.77121699999998,59,0
google.csv,1,1286,20,5.0,1,1286,0,0,0.0573810000000776,179292,0
google.csv,1,728,293,0.34,1,728,0,0,95.07409199999984,61,0
google.csv,1,728,22,4.55,1,728,0,0,0.0753550000003997,77287,0
google.csv,1,721,37,2.7,1,721,0,0,0.2398720000001049,24046,0
google.csv,1,716,2590,0.04,1,716,0,0,90.95440499999997,62,0
google.csv,1,716,75,1.33,1,716,0,0,21.41510400000016,267,0
google.csv,1,716,12362,0.01,1,716,0,0,103.04345400000012,55,0
google.csv,1,1286,28,3.57,1,1286,0,0,0.050705999999991,202895,0
google.csv,1,728,464,0.22,1,728,0,0,102.23596300000008,56,0
google.csv,1,721,423,0.24,1,721,0,0,102.38571200000024,56,0
google.csv,1,728,33,3.03,1,728,0,0,101.69851000000016,57,0
google.csv,1,716,2744,0.04,1,716,0,0,98.11242500000026,58,0
google.csv,1,717,48,2.08,1,717,0,0,52.88431700000001,108,0
google.csv,1,730,38,2.63,1,730,0,0,0.1678719999999884,34788,0
google.csv,1,717,17,5.88,1,717,0,0,0.1086479999999028,52794,0
google.csv,1,712,60,1.67,1,712,0,0,11.093274000000292,513,0
reuters.csv,2,953,16,12.5,1,772,1,181,38.047979,162,38
reuters.csv,1,717,4320,0.02,1,717,0,0,37.842574,151,0
reuters.csv,1,717,1331,0.08,1,717,0,0,20.787983999999994,275,0
reuters.csv,1,717,22,4.55,1,717,0,0,0.0897620000000074,63902,0
reuters.csv,1,717,2220,0.05,1,717,0,0,34.71785,165,0
reuters.csv,1,717,23,4.35,1,717,0,0,0.0874670000000037,65579,0
reuters.csv,1,717,22,4.55,1,717,0,0,0.0983519999999771,58321,0
reuters.csv,1,717,568,0.18,1,717,0,0,12.477434999999986,459,0
reuters.csv,1,717,922,0.11,1,717,0,0,18.908601000000036,303,0
reuters.csv,1,717,1371,0.07,1,717,0,0,88.95119899999997,64,0
reuters.csv,1,717,1619,0.06,1,717,0,0,26.852723999999967,213,0
reuters.csv,1,717,1037,0.1,1,717,0,0,59.66648199999997,96,0
reuters.csv,1,717,1982,0.05,1,717,0,0,24.007783000000018,238,0
reuters.csv,1,717,7546,0.01,1,717,0,0,31.46025099999997,182,0
reuters.csv,1,717,501,0.2,1,717,0,0,7.280375999999933,787,0
reuters.csv,1,717,22,4.55,1,717,0,0,0.110548000000108,51886,0
reuters.csv,1,717,1335,0.07,1,717,0,0,16.682904000000008,343,0
reuters.csv,1,717,23,4.35,1,717,0,0,0.1038149999999404,55252,0
reuters.csv,1,717,22,4.55,1,717,0,0,0.1103570000000218,51976,0
reuters.csv,1,717,22,4.55,1,717,0,0,0.0996199999999589,57578,0
reuters.csv,1,717,1261,0.08,1,717,0,0,16.003048000000035,358,0
reuters.csv,1,717,1611,0.06,1,717,0,0,13.23961300000019,433,0
reuters.csv,1,717,1379,0.07,1,717,0,0,41.77301700000021,137,0
reuters.csv,1,717,887,0.11,1,717,0,0,11.169349999999897,513,0
reuters.csv,1,717,22,4.55,1,717,0,0,0.0973920000001271,58896,0
reuters.csv,1,717,22,4.55,1,717,0,0,0.0972830000000612,58961,0
reuters.csv,1,717,7840,0.01,1,717,0,0,38.85375399999998,147,0
reuters.csv,1,717,787,0.13,1,717,0,0,36.57251500000007,156,0
reuters.csv,1,717,2185,0.05,1,717,0,0,41.413276,138,0
reuters.csv,1,729,32,3.13,1,729,0,0,6.127314000000069,951,0
reuters.csv,1,729,23,4.35,1,729,0,0,0.0911670000000413,63970,0
reuters.csv,1,729,233,0.43,1,729,0,0,5.866569999999911,994,0
reuters.csv,1,729,27,3.7,1,729,0,0,0.089949999999817,64836,0
reuters.csv,1,729,23,4.35,1,729,0,0,0.0852939999999762,68375,0
reuters.csv,1,717,735,0.14,1,717,0,0,22.23497599999996,257,0
reuters.csv,1,717,1005,0.1,1,717,0,0,12.272290999999996,467,0
reuters.csv,1,717,22,4.55,1,717,0,0,0.0912900000000718,62832,0
reuters.csv,1,717,1307,0.08,1,717,0,0,53.50402699999995,107,0
reuters.csv,1,717,24,4.17,1,717,0,0,0.0981500000000323,58441,0
reuters.csv,1,717,855,0.12,1,717,0,0,24.057267000000135,238,0
reuters.csv,1,717,1689,0.06,1,717,0,0,25.382882999999996,225,0
reuters.csv,4,5264,25,16.0,1,722,3,4542,2.2006760000001577,2624,16511
reuters.csv,4,5264,25,16.0,1,722,3,4542,2.200665000000072,2624,16511
reuters.csv,4,5264,25,16.0,1,722,3,4542,2.132309000000077,2708,17040
reuters.csv,1,717,22,4.55,1,717,0,0,0.0884530000000722,64847,0
reuters.csv,1,717,2288,0.04,1,717,0,0,49.645544999999856,115,0
reuters.csv,1,717,22,4.55,1,717,0,0,0.0988239999999223,58042,0
reuters.csv,1,717,22,4.55,1,717,0,0,0.0922809999999572,62157,0
reuters.csv,1,717,1410,0.07,1,717,0,0,88.18198000000007,65,0
reuters.csv,1,717,2066,0.05,1,717,0,0,70.83811600000013,80,0
reuters.csv,1,717,418,0.24,1,717,0,0,11.04211099999975,519,0
reuters.csv,1,717,26,3.85,1,717,0,0,0.1422929999998814,40311,0
reuters.csv,1,717,873,0.11,1,717,0,0,14.042693999999756,408,0
reuters.csv,1,717,24,4.17,1,717,0,0,0.13364300000012,42920,0
reuters.csv,1,717,23,4.35,1,717,0,0,0.1362619999999879,42095,0
reuters.csv,4,5264,25,16.0,1,722,3,4542,7.285286000000269,792,4987
reuters.csv,4,5264,25,16.0,1,722,3,4542,7.281244000000242,793,4990
reuters.csv,1,717,2010,0.05,1,717,0,0,176.1947340000006,32,0
reuters.csv,1,717,408,0.25,1,717,0,0,7.683029000000715,746,0
reuters.csv,1,717,22,4.55,1,717,0,0,0.0903790000002118,63466,0
reuters.csv,1,717,22,4.55,1,717,0,0,0.0814199999995253,70449,0
reuters.csv,1,717,25,4.0,1,717,0,0,0.0970550000001821,59100,0
reuters.csv,1,717,22,4.55,1,717,0,0,0.1015239999996993,56498,0
reuters.csv,1,717,22,4.55,1,717,0,0,0.096918999999616,59183,0
reuters.csv,1,717,891,0.11,1,717,0,0,15.430160000000797,371,0
reuters.csv,1,717,553,0.18,1,717,0,0,17.563436999999794,326,0
reuters.csv,1,717,1579,0.06,1,717,0,0,9.000230999999985,637,0
reuters.csv,1,717,2480,0.04,1,717,0,0,72.38185500000054,79,0
reuters.csv,1,717,1487,0.07,1,717,0,0,53.584187000000384,107,0
reuters.csv,1,717,23,4.35,1,717,0,0,0.8146690000003218,7040,0
reuters.csv,1,717,22,4.55,1,717,0,0,0.7977700000001278,7190,0
reuters.csv,1,717,22,4.55,1,717,0,0,0.7312050000000454,7844,0
reuters.csv,1,717,22,4.55,1,717,0,0,0.5419379999993907,10584,0
reuters.csv,1,717,23,4.35,1,717,0,0,0.5418610000006083,10585,0
reuters.csv,1,717,22,4.55,1,717,0,0,0.5457989999995334,10509,0
reuters.csv,1,717,26,3.85,1,717,0,0,0.4841160000005402,11848,0
reuters.csv,1,717,7816,0.01,1,717,0,0,52.46403399999963,109,0
reuters.csv,1,717,1165,0.09,1,717,0,0,46.13567899999998,124,0
reuters.csv,1,717,798,0.13,1,717,0,0,38.26890900000035,149,0
reuters.csv,1,707,7150,0.01,1,707,0,0,64.80303499999991,87,0
