Website,Length,Protocol,Info
github.csv,54,TCP,56542  >  443 [ACK] Seq=5979 Ack=214495 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=5979 Ack=217367 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=5979 Ack=220239 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=5979 Ack=223111 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=5979 Ack=224788 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=5979 Ack=227660 Win=132096 Len=0
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1182,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,"Application Data, Application Data"
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,54,TCP,56542  >  443 [ACK] Seq=5979 Ack=230532 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=5979 Ack=233404 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=5979 Ack=235968 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=5979 Ack=238840 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=5979 Ack=241712 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=5979 Ack=244584 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=5979 Ack=247456 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=5979 Ack=250328 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=5979 Ack=253200 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=5979 Ack=256072 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=5979 Ack=258944 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=5979 Ack=261816 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=5979 Ack=264688 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=5979 Ack=267560 Win=132096 Len=0
